relation_id,subject_ku_id,object_ku_id,predicate,direction,time,role,scope,origin,status,evidence_doc_id,evidence_source_file,evidence_span
rel-12,units/persons/andrea-camassei,units/persons/domenichino,trained_by,forward,,进入其工作室的学生／助手,Pascoli早期训练叙述；不延伸到其他大师作品研习,enrich,formal,dbi-camassei,https://www.treccani.it/enciclopedia/andrea-camassei_(Dizionario-Biografico)/,本卡 S8；早期训练段
rel-13,units/persons/andrea-memmo,units/persons/carlo-lodoli,trained_by,forward,,受教者→教师,DBI明确记为学生；不等同大学学位,enrich,formal,persons-carlo-lodoli,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/,著述段：due allievi，Algarotti与A. Memmo
rel-14,units/persons/andrea-pozzo,units/institutions/jesuits,member_of,forward,,,,enrich,formal,dbi-pozzo,https://www.treccani.it/enciclopedia/andrea-pozzo_(Dizionario-Biografico)/,本卡 S6；入会与誓愿段
rel-15,units/persons/andrea-procaccini,units/institutions/accademia-di-san-luca,member_of,forward,,,,enrich,formal,wp-procaccini,https://en.wikipedia.org/w/index.php?oldid=1366087864,本卡 S5；生平段
rel-16,units/persons/andrea-procaccini,units/persons/carlo-maratta,trained_by,forward,约1690,工作室学生,素描与临摹训练,enrich,formal,dbi-procaccini,https://www.treccani.it/enciclopedia/andrea-procaccini_(Dizionario-Biografico)/,本卡 S7；早期训练段
rel-17,units/persons/andrea-sacchi,units/persons/antonio-barberini,employed_by,forward,1637–1640,家户受俸画家,1640年升入最高受俸者等级,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 195–198; print pp. 7
rel-18,units/persons/andrea-sacchi,units/institutions/barberini-household,member_of,forward,,,,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 195–198; print pp. 7
rel-19,units/persons/angelica-galante,units/persons/pietro-bernini,spouse_of,forward,1594年时已为夫妻；结婚年份未载,妻子,Pietro Bernini与Angelica Galante的婚姻,enrich,formal,treccani-dbi-pietro-bernini-1967,https://www.treccani.it/enciclopedia/pietro-bernini_(Dizionario-Biografico)/,line 33: Pietro于1594年与妻子Angelica返回佛罗伦萨
rel-20,units/persons/angelica-galante,units/persons/gian-lorenzo-bernini,parent_of,forward,,母亲,Gian Lorenzo Bernini的母亲,enrich,formal,treccani-dbi-gian-lorenzo-bernini-1967,https://www.treccani.it/enciclopedia/gian-lorenzo-bernini_(Dizionario-Biografico)/,line 29: ‘di Angelica Galante’
rel-21,units/persons/angelica-galante,units/persons/luigi-bernini,parent_of,forward,,母亲,Luigi Bernini的母亲,enrich,formal,treccani-dbi-luigi-bernini-1967,https://www.treccani.it/enciclopedia/luigi-bernini_(Dizionario-Biografico)/,line 28: ‘Figlio di Pietro e di Angelica Galante’
rel-22,units/persons/ann-sutherland-harris,units/institutions/courtauld-institute-of-art,educated_at,forward,,博士学位教育,就读机构；不混为受雇、组织院士或个人师承,enrich,formal,persons-ann-sutherland-harris,https://www.haa.pitt.edu/people/ann-sutherland-harris,完整教师页面：研究、教育、项目与出版清单；未下载CV
rel-23,units/persons/ann-sutherland-harris,units/institutions/university-of-pittsburgh,employed_by,forward,,艺术史教授,校方教师页面任职身份；未补造任期,enrich,formal,persons-ann-sutherland-harris,https://www.haa.pitt.edu/people/ann-sutherland-harris,完整教师页面：研究、教育、项目与出版清单；未下载CV
rel-24,units/persons/anthony-blunt,units/institutions/courtauld-institute-of-art,employed_by,forward,1947年就任,院长／Director,院长任命；本来源未采用离任年,enrich,formal,persons-anthony-blunt,https://www.npg.org.uk/collections/search/person/mp12247/anthony-frederick-blunt,姓名、两段人物传记、相关人物与肖像列表；未逐件读肖像记录
rel-25,units/persons/anthony-clark,units/institutions/metropolitan-museum-of-art,employed_by,forward,1973–1975,欧洲绘画策展人,欧洲绘画部门任职,enrich,formal,persons-anthony-clark,https://www.getty.edu/research/collections/static/pdf/2023.M.59.pdf,PDF p.4 Biographical Note
rel-26,units/persons/artemisia-gentileschi,units/persons/antonio-ruffo,corresponded_with,forward,1649–1650,通信双方,密集通信涉及付款及拟议委托；不把全部往来合成单一成交,enrich,formal,dbi-artemisia,https://www.treccani.it/enciclopedia/artemisia-lomi_(Dizionario-Biografico)/,本卡 S6；1649–1650 Ruffo通信段
rel-27,units/persons/benedetto-luti,units/institutions/accademia-di-san-luca,member_of,forward,,,,enrich,formal,dbi-luti,https://www.treccani.it/enciclopedia/benedetto-luti_(Dizionario-Biografico)/,本卡 S7；1694年入会段
rel-28,units/persons/bernardin-baldoino,units/persons/gio-gasparo-baldoini,child_of,forward,1625,儿子,Thevenon明确称Bernardin为Giovanni-Gaspare Baldoino之子；姓名异文不改变所指,enrich,formal,thevenon-baldoino-2016,https://cinumedpub.mmsh.fr/Provence-historique/Pdf/PH-2016-65-259_3.pdf,printed p.32; PDF p.7; lines 296–297
rel-29,units/persons/bernardino-castelli,units/places/padua,located_at,forward,1775,迁居,传记明确地点事件,enrich,formal,persons-bernardino-castelli,https://www.treccani.it/enciclopedia/bernardino-castelli_(Dizionario-Biografico)/,1775年转往Padova段
rel-30,units/persons/bernardino-castelli,units/places/venice,located_at,forward,1810-02-24,去世,传记明确地点事件,enrich,formal,persons-bernardino-castelli,https://www.treccani.it/enciclopedia/bernardino-castelli_(Dizionario-Biografico)/,Morì a Venezia段
rel-31,units/persons/bruce-boucher,units/institutions/courtauld-institute-of-art,educated_at,forward,,硕士与博士学位教育,就读机构；不混为受雇、组织院士或个人师承,enrich,formal,persons-bruce-boucher,https://www.newswise.com/articles/architectural-historian-and-museum-curator-bruce-ambler-boucher-appointed-director-of-the-university-of-virginia-art-museum,完整大学任命新闻正文；可见页未显示明确发布日期
rel-32,units/persons/bruce-boucher,units/institutions/art-institute-of-chicago,employed_by,forward,2002年起,欧洲雕塑策展人,大学任命新闻回顾既有职务，不推定离任年,enrich,formal,persons-bruce-boucher,https://www.newswise.com/articles/architectural-historian-and-museum-curator-bruce-ambler-boucher-appointed-director-of-the-university-of-virginia-art-museum,完整大学任命新闻正文；可见页未显示明确发布日期
rel-33,units/persons/bruce-boucher,units/institutions/sir-john-soanes-museum,employed_by,forward,2016-05-16就任；2017-03-31仍在任,馆长,年度报告时点，不将期末当离任,enrich,formal,persons-bruce-boucher,https://www.soane.org/sites/default/files/2023-06/soane-museum-annual-report-accounts-2017.pdf,PDF第6、8、11、43页；印刷页4、6、9、41；人员、地址、机构历史与任命段
rel-34,units/persons/camillo-pamfili,units/persons/pier-francesco-mola,patron_of,forward,,雇主、装饰委托人与费用承担方,Valmontone装饰及行动许可语境,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,"lines 231–233,308–319,505–519; print pp. 7,9,13"
rel-35,units/persons/camillo-pamfili,units/persons/guglielmo-cortese,patron_of,forward,,Valmontone雇主／保护人,离开数日须获特别许可的服务关系,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 231–233; print pp. 7
rel-36,units/persons/caravaggio,units/works/caravaggio-conversion-saint-paul,creator_of,forward,1600起,合同指定画家,连接委托对象；不同实物版本仍分开,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 397–401; print pp. 11
rel-37,units/persons/caravaggio,units/works/caravaggio-martyrdom-saint-peter,creator_of,forward,1600起,合同指定画家,连接委托对象；现存版本与原约底材仍分开,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 397–401; print pp. 11
rel-38,units/persons/caravaggio,units/persons/simone-peterzano,trained_by,forward,1584–约1588,学徒,米兰工作室训练,enrich,formal,trained-by-persons-simone-peterzano-md,https://en.wikipedia.org/wiki/Caravaggio,Biography / Early life段
rel-39,units/persons/caravaggio,units/persons/giuseppe-cesari,employed_by,forward,1590年代早期,工作室画家／助手,花果及次要部分；不等于长期师承,enrich,formal,employed-by-persons-giuseppe-cesari-md,https://en.wikipedia.org/wiki/Caravaggio,Beginnings in Rome段
rel-40,units/persons/caravaggio,units/persons/prospero-orsi,friend_of,forward,1590年代起,朋友与市场引介者,不由此推定共同创作,enrich,formal,friend-of-persons-prospero-orsi-md,https://en.wikipedia.org/wiki/Caravaggio,Beginnings in Rome与相关生平段
rel-41,units/persons/caravaggio,units/persons/onorio-longhi,friend_of,forward,,朋友,不由共同涉案推定艺术合作,enrich,formal,friend-of-persons-onorio-longhi-md,https://en.wikipedia.org/wiki/Caravaggio,Rome生平与诽谤案段
rel-42,units/persons/caravaggio,units/persons/mario-minnitti,friend_of,forward,1590年代,朋友,模特身份逐件作品另判,enrich,formal,friend-of-persons-mario-minnitti-md,https://en.wikipedia.org/wiki/Caravaggio,Beginnings in Rome与Models段
rel-43,units/persons/caravaggio,units/persons/francesco-maria-del-monte,patronized_by,forward,约1595起,主要赞助人／保护人,具体作品委托另逐件登记,enrich,formal,patronized-by-persons-francesco-maria-del-monte-md,https://en.wikipedia.org/wiki/Caravaggio,Beginnings in Rome与Patrons字段
rel-44,units/persons/caravaggio,units/persons/alof-de-wignacourt,patronized_by,forward,1607–1608,保护人,骑士身份与肖像作品分别建模,enrich,formal,patronized-by-persons-alof-de-wignacourt-md,https://en.wikipedia.org/wiki/Caravaggio,Malta段与Patrons字段
rel-45,units/persons/caravaggio,units/families/colonna-family,patronized_by,forward,1606后,保护网络,逃亡期保护；非具体作品委托,enrich,formal,patronized-by-families-colonna-family-md,https://en.wikipedia.org/wiki/Caravaggio,Early life及Naples exile相关段
rel-46,units/persons/caravaggio,units/institutions/knights-hospitaller,member_of,forward,1608年内,骑士，后被逐,非终身未撤销头衔,enrich,formal,member-of-institutions-knights-hospitaller-md,https://en.wikipedia.org/wiki/Caravaggio,Malta段
rel-47,units/persons/cardinal-borghese-ch1,units/persons/domenichino,disputed_with,forward,,争执一方,第一章所述执行／付款争执；人物据同书索引确认为Scipione Borghese,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 79–83; print pp. 4
rel-48,units/persons/cardinal-borghese-ch1,units/families/borghese-family,member_of,forward,,,,enrich,formal,galleria-borghese-la-villa,https://galleriaborghese.cultura.gov.it/il-museo/la-villa/,博尔盖塞家族卡 S7；Scipione 段
rel-49,units/persons/carlo-lodoli,units/places/venice,located_at,forward,1690出生；1720返回,出生／返回,明确生平地点事件，非全生涯连续住址,enrich,formal,persons-carlo-lodoli,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/,起首出生段及1720返威尼斯段
rel-50,units/persons/carlo-lodoli,units/places/padua,located_at,forward,1761-10-27,去世,明确生平地点事件，非全生涯连续住址,enrich,formal,persons-carlo-lodoli,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/,末段Morì a Padova
rel-51,units/persons/carlo-maratta,units/institutions/accademia-di-san-luca,member_of,forward,,,,enrich,formal,dbi-maratta,https://www.treccani.it/enciclopedia/carlo-maratti_(Dizionario-Biografico)/,本卡 S7；1662年入会及后续任职段
rel-52,units/persons/carlo-maratta,units/persons/andrea-sacchi,trained_by,forward,约1636／1637起,工作室学生,进入Sacchi工作室的训练阶段,enrich,formal,dbi-maratta,https://www.treccani.it/enciclopedia/carlo-maratti_(Dizionario-Biografico)/,本卡 S7；早期训练与合作段
rel-53,units/persons/carlo-maratta,units/persons/andrea-sacchi,collaborated_with,forward,,主要合作者,训练期之后的工作合作；具体项目仍逐作判断,enrich,formal,dbi-maratta,https://www.treccani.it/enciclopedia/carlo-maratti_(Dizionario-Biografico)/,本卡 S7；早期训练与合作段
rel-54,units/persons/caterina-cucchiaroni,units/persons/giovanni-telli,spouse_of,forward,,前配偶,此前婚姻,enrich,formal,valentina-sapienza-leoni-ottavio-dizionario-biografico-degli-italiani-64-2005,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/,lines 43–44
rel-55,units/persons/caterina-cucchiaroni,units/persons/battista-telli,parent_of,forward,,儿子,Caterina与前夫所生,enrich,formal,valentina-sapienza-leoni-ottavio-dizionario-biografico-degli-italiani-64-2005,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/,lines 43–44
rel-56,units/persons/caterina-cucchiaroni,units/persons/maddalena-telli,parent_of,forward,,女儿,Caterina与前夫所生,enrich,formal,valentina-sapienza-leoni-ottavio-dizionario-biografico-degli-italiani-64-2005,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/,lines 43–44
rel-57,units/persons/caterina-cucchiaroni,units/persons/ippolito-leoni,parent_of,forward,,儿子,Caterina与前夫所生,enrich,formal,valentina-sapienza-leoni-ottavio-dizionario-biografico-degli-italiani-64-2005,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/,lines 43–44
rel-58,units/persons/caterina-cucchiaroni,units/persons/eufrasia-telli,parent_of,forward,,女儿,Caterina与前夫所生,enrich,formal,valentina-sapienza-leoni-ottavio-dizionario-biografico-degli-italiani-64-2005,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/,lines 43–44
rel-59,units/persons/charles-francois-poerson,units/institutions/french-academy-in-rome,member_of,forward,1704起；1708在任,院长,1704获任院长，1708原书来信佐证仍在任；不确定1724／1725终期,enrich,formal,persons-charles-francois-poerson,https://villamedici.it/directeur/charles-francois-poerson/,Biographie任职段：1704年获任院长
rel-60,units/persons/charles-francois-poerson,units/persons/louis-antoine-de-pardaillan-de-gondrin,corresponded_with,forward,1708-10-20,写信人→收信人,此信支持一次通信，不自动证明朋友或赞助关系,enrich,formal,archives-poerson-letter-1708,https://archive.org/download/correspondancede03acad/correspondancede03acad_bw.pdf,第1317号信题头、日期及署名；印刷pp.239、241
rel-61,units/persons/charles-v,units/persons/titian,honourer_of,forward,1533,荣衔授予者,Count Palatine等荣衔；不采捡画笔逸事,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 799–804; print pp. 19
rel-62,units/persons/ciro-ferri,units/institutions/accademia-di-san-luca,member_of,forward,,,,enrich,formal,dbi-ferri,https://www.treccani.it/enciclopedia/ciro-ferri_(Dizionario-Biografico)/,本卡 S9；学院成员段
rel-63,units/persons/ciro-ferri,units/persons/pietro-da-cortona,trained_by,forward,,学生,Ferri从Cortona学习；具体起止年未在本卡定稿,enrich,formal,dbi-ferri,https://www.treccani.it/enciclopedia/ciro-ferri_(Dizionario-Biografico)/,本卡 S9；师承与合作段
rel-64,units/persons/ciro-ferri,units/persons/pietro-da-cortona,collaborated_with,forward,,长期助手／合作者,具体项目责任仍逐作区分,enrich,formal,dbi-ferri,https://www.treccani.it/enciclopedia/ciro-ferri_(Dizionario-Biografico)/,本卡 S9；师承与合作段
rel-65,units/persons/claude-mellan,units/places/abbeville,located_at,forward,1598,出生地点,个人出生事件,enrich,formal,persons-claude-mellan,https://www.metmuseum.org/art/collection/search/392968,Artwork Details：Artist
rel-66,units/persons/claude-mellan,units/places/paris,located_at,forward,1688,去世地点,个人死亡事件,enrich,formal,persons-claude-mellan,https://www.metmuseum.org/art/collection/search/392968,Artwork Details：Artist
rel-67,units/persons/clement-viii,units/families/aldobrandini-family,member_of,forward,1536–1605,出生于阿尔多布兰迪尼家族的成员,只表示家族归属，不把教皇任期或个人行为归给整个家族,enrich,formal,aldobrandini-family-wikipedia-wikidata,https://www.wikidata.org/wiki/Q961820,P527；与英文Wikipedia Aldobrandini family成员说明合读
rel-68,units/persons/clement-xi,units/persons/giuseppe-ghezzi,granted_privilege_to,forward,,benefice授予者,圣彼得的一项benefice；不改写为一般任职,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 771–773; print pp. 19
rel-69,units/persons/domenichino,units/procedures/per-figure-pricing,uses_procedure,forward,,,,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 498–502; print pp. 13
rel-70,units/persons/domenico-cerato,units/persons/andrea-memmo,collaborated_with,forward,,广场整治合作者,Prato della Valle整治，不把合作改作出资或个人委托,enrich,formal,persons-domenico-cerato,https://www.treccani.it/enciclopedia/domenico-cerato/,短条目：生卒括注及1765教学、Memmo合作句
rel-71,units/persons/domenico-cerato,units/places/padua,located_at,forward,1765起,教学活动城市,民用建筑教学,enrich,formal,persons-domenico-cerato,https://www.treccani.it/enciclopedia/domenico-cerato/,短条目：生卒括注及1765教学、Memmo合作句
rel-72,units/persons/domenico-cerato,units/places/padua,located_at,forward,1792,去世地点,个人死亡事件,enrich,formal,persons-domenico-cerato,https://www.treccani.it/enciclopedia/domenico-cerato/,短条目：生卒括注及1765教学、Memmo合作句
rel-73,units/persons/domenico-cerato,units/places/pra-della-valle,located_at,forward,,整治活动地点,与Memmo合作整治广场；不等同方案的实际存放地,enrich,formal,persons-domenico-cerato,https://www.treccani.it/enciclopedia/domenico-cerato/,短条目：生卒括注及1765教学、Memmo合作句
rel-74,units/persons/domenico-fedeli-venice-painter,units/persons/elena-zuliani,spouse_of,forward,,配偶,1738年结婚,enrich,formal,ettore-merkel-fedeli-domenico-detto-il-maggiotto-dizionario-biografico-degli-italiani-45-1995,https://www.treccani.it/enciclopedia/fedeli-domenico-detto-il-maggiotto_(Dizionario-Biografico)/,lines 24–25
rel-75,units/persons/domenico-fedeli-venice-painter,units/persons/giuseppe-giovanni-fedeli,parent_of,forward,,父亲,具名儿子,enrich,formal,ettore-merkel-fedeli-domenico-detto-il-maggiotto-dizionario-biografico-degli-italiani-45-1995,https://www.treccani.it/enciclopedia/fedeli-domenico-detto-il-maggiotto_(Dizionario-Biografico)/,lines 25–26
rel-76,units/persons/domenico-fedeli-venice-painter,units/institutions/venetian-academy-of-painting-and-sculpture,member_of,forward,,成员；后任学院职务,1756入会,enrich,formal,ettore-merkel-fedeli-domenico-detto-il-maggiotto-dizionario-biografico-degli-italiani-45-1995,https://www.treccani.it/enciclopedia/fedeli-domenico-detto-il-maggiotto_(Dizionario-Biografico)/,lines 27–28
rel-77,units/persons/domenico-maria-viani,units/persons/giovanni-maria-viani,kin_of,forward,,儿子→父亲,父子关系，非同名合并,enrich,formal,persons-domenico-maria-viani,https://www.treccani.it/enciclopedia/viani/,Domenico Maria人物段：Il figlio
rel-78,units/persons/domenico-maria-viani,units/persons/giovanni-maria-viani,trained_by,forward,,绘画师承,传记明确随父学习，亲缘另列,enrich,formal,persons-domenico-maria-viani,https://www.treccani.it/enciclopedia/viani/,Domenico Maria人物段：allievo del padre
rel-79,units/persons/domenico-maria-viani,units/places/bologna,located_at,forward,1668,出生,条目明确生卒地点,enrich,formal,persons-domenico-maria-viani,https://www.treccani.it/enciclopedia/viani/,Domenico Maria生卒括注
rel-80,units/persons/domenico-maria-viani,units/places/pistoia,located_at,forward,1711,去世,条目明确生卒地点,enrich,formal,persons-domenico-maria-viani,https://www.treccani.it/enciclopedia/viani/,Domenico Maria生卒括注
rel-81,units/persons/duke-parma-ghezzi,units/persons/giuseppe-ghezzi,honourer_of,forward,,gentiluomo d’onore荣衔授予者,授予者全名及日期未明,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 771–773; print pp. 19
rel-82,units/persons/ellis-waterhouse,units/institutions/national-gallery-london,employed_by,forward,1929–1933,助理／Assistant,早期馆务任职，1933离任,enrich,formal,persons-ellis-waterhouse,https://www.nationalgallery.org.uk/research/research-centre/archive/record/NGA16,完整档案集合目录、Administrative history、Related material
rel-83,units/persons/ernest-cognacq,units/persons/marie-louise-jay,spouse_of,forward,1872结婚,配偶,馆方传记明确结婚；不据艺术收藏关系反推婚姻,enrich,formal,persons-ernest-cognacq,https://www.museecognacqjay.paris.fr/en/museum/cognacq-jay-spouses,A remarkable example of commercial success：1871租约后的次年结婚
rel-84,units/persons/ernest-cognacq,units/places/saint-martin-de-re,located_at,forward,1839-10-02,出生地,人物出生地点，未写成长期活动地,enrich,formal,persons-ernest-cognacq,https://catalogue.bnf.fr/ark:/12148/cb161688058,Naissance
rel-85,units/persons/ernest-cognacq,units/places/paris,located_at,forward,1928-02-21,去世地,巴黎第16区，死亡地点而非所有人生阶段居住地,enrich,formal,persons-ernest-cognacq,https://catalogue.bnf.fr/ark:/12148/cb161688058,Mort
rel-86,units/persons/fabrizio-valguarnera,units/procedures/studio-stock-sale,uses_procedure,forward,,,,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 591–601; print pp. 15
rel-87,units/persons/federigo-zuccari,units/institutions/accademia-di-san-luca,member_of,forward,1593–1594,首任Prince及组织领导者,学院振兴／实际组织阶段；不等同1577年设院授权,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 681–683; print pp. 17
rel-88,units/persons/ferdinando-marescalchi,units/places/bologna,located_at,forward,1754,出生地点,个人生命事件,enrich,formal,persons-ferdinando-marescalchi,https://www.treccani.it/enciclopedia/marescalchi-ferdinando-conte/,首句：Bologna 1754
rel-89,units/persons/ferdinando-marescalchi,units/places/modena,located_at,forward,1816,去世地点,个人生命事件,enrich,formal,persons-ferdinando-marescalchi,https://www.treccani.it/enciclopedia/marescalchi-ferdinando-conte/,首句：Modena 1816
rel-90,units/persons/filippo-hercolani-1736,units/persons/marcantonio-hercolani-1709,child_of,forward,自1736年起（Filippo出生年）,son,父子亲缘；不因父亲于1772年去世而终止,enrich,formal,unibo-hercolani-collection-study,https://cris.unibo.it/handle/11585/858533,repository abstract: collection formed by Marcantonio Hercolani (1709–1772) and augmented by his son Filippo (1736–1810)
rel-91,units/persons/filippo-lauri,units/institutions/accademia-di-san-luca,member_of,forward,,,,enrich,formal,dbi-lauri,https://www.treccani.it/enciclopedia/filippo-lauri_(Dizionario-Biografico)/,本卡 S6；1654年入会段
rel-92,units/persons/flavio-chigi,units/persons/mario-de-fiori,patron_of,forward,,每月津贴提供者,每月30 scudi；不表示作品全部买断,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 282–283; print pp. 8
rel-93,units/persons/francesco-algarotti,units/persons/carlo-lodoli,trained_by,forward,1725,受教者→教师,DBI明确记为学生；不等同大学学位,enrich,formal,persons-carlo-lodoli,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/,"教学段：nel 1725, F. Algarotti"
rel-94,units/persons/francesco-barberini,units/institutions/accademia-di-san-luca,member_of,forward,,Cardinal Protector,学院保护职位；不与Antonio Barberini家户混同,book,formal,patrons-and-painters,02-sources/02-Markdown/01_CHP-1.md,lines 694–696; print pp. 17
rel-95,units/persons/francesco-fanelli,units/places/florence,located_at,forward,1577,出生地点,个人出生事件,enrich,formal,persons-francesco-fanelli,https://www.metmuseum.org/art/collection/search/761114,策展正文首两段；Artwork Details：Artist
rel-96,units/persons/francesco-fanelli,units/places/genoa,located_at,forward,1605–1630,作坊活动城市,家庭作坊,enrich,formal,persons-francesco-fanelli,https://www.metmuseum.org/art/collection/search/761114,策展正文首两段；Artwork Details：Artist
rel-97,units/persons/francesco-fanelli,units/places/london,located_at,forward,1632,迁入城市,赴英国宫廷工作,enrich,formal,persons-francesco-fanelli,https://www.metmuseum.org/art/collection/search/761114,策展正文首两段；Artwork Details：Artist
rel-98,units/persons/francesco-fanelli,units/persons/charles-i,patronized_by,forward,1632,年金赞助者,Met策展传记的年金记载,enrich,formal,persons-francesco-fanelli,https://www.metmuseum.org/art/collection/search/761114,策展正文首两段；Artwork Details：Artist
rel-99,units/persons/francesco-fanelli,units/persons/charles-i,appointed_by,forward,1635,王室雕塑家任命者,个人获任官职，不从作品肖像角色推导,enrich,formal,persons-francesco-fanelli,https://www.metmuseum.org/art/collection/search/761114,策展正文首两段；Artwork Details：Artist
rel-100,units/persons/francesco-fontana,units/persons/galeazzo-fontana,parent_of,forward,,父亲,Francesco Fontana与儿子Galeazzo Fontana,enrich,formal,tavernari-fontana-family-2017,https://iris.unimore.it/retrieve/e31e124d-08e1-987f-e053-3705fe0a095a/FONTANA%20famiglia%20.pdf,印刷页 67：Il figlio Galeazzo ...
rel-101,units/persons/francesco-guardi,units/places/venice,located_at,forward,1712,出生,出生地,enrich,formal,persons-francesco-guardi,https://www.nationalgallery.org.uk/artists/francesco-guardi,人物年代与传记第2段Francesco Guardi was born in Venice
